Index,Dataset,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster
0,ag_news,3.8832161688088256,14.254407810223805,4257.316465986843,0,0,
1,amazon_review_polarity,2.5335737644551237,19.653255131948765,17648.623108489992,3.389670029491179,2,
2,yelp_review_polarity,2.626371328710286,18.79084571092802,16874.179448413364,0,0,
3,amazon_review_polarity,2.6033388587508473,19.203577776015354,17244.81284286179,0,0,
4,yahoo_answers,6.301625417059949,9.558607388506413,945.2400639745231,0,0,
5,dbpedia,7.851366792195755,7.8424636361460225,534.4940601250289,0,0,
6,amazon_review_polarity,2.5540522791368936,19.779862530751938,17762.31655261524,3.2656775908505424,2,
7,amazon_review_polarity,2.614728301734712,19.256347852184405,17292.200371261595,0,0,
8,amazon_review_full,4.263566899940979,13.127856798451818,2937.3579586535943,0,0,
9,ag_news,3.91784421198978,14.196051478089778,4239.88737478948,3.4309717938140167,2,
10,amazon_review_polarity,2.573154326907301,19.297887208627348,17329.50271334736,0,0,
11,dbpedia,7.744115797328208,7.803812138419564,531.859811895364,0,0,
12,dbpedia,7.839106520148151,7.817794444037604,532.812759801332,0,0,
13,yelp_review_polarity,2.631698898299988,18.733669180521122,16822.834924107967,0,0,
14,dbpedia,7.753892505278974,7.868617986805553,536.2765797161323,0,0,
15,dbpedia,7.742568699247288,7.859671294058352,535.6668281950539,0,0,
16,dbpedia,7.847802737531809,7.758037269298771,528.7400785075931,0,0,
17,amazon_review_polarity,2.536805775707673,19.68174555621163,17674.207509478045,0,0,
18,yelp_review_polarity,2.6443501925042074,18.671537352256923,16767.04054232672,0,0,
19,dbpedia,7.751833385730479,7.821062658767609,533.0355012052386,0,0,
20,dbpedia,7.811799113490208,7.814072684063641,532.559107544645,0,0,
21,dbpedia,7.778747913356498,7.861039513238656,535.760077594573,0,0,
22,yelp_review_polarity,2.6315776653552443,18.976201536761245,17040.6289800116,0,0,
23,dbpedia,7.781337686571058,7.851633033831521,535.1189898442099,0,0,
24,amazon_review_polarity,2.515647994950154,19.833367493235524,17810.364008925502,0,0,
25,yelp_review_polarity,2.5910431395097864,18.889133322120863,16962.441723264536,3.0587997805422287,2,
26,ag_news,3.7515953708697736,14.738594285026627,4401.9268264612865,0,0,
27,yahoo_answers,6.491091230744124,9.372046542399486,926.7912691928382,0,0,
28,dbpedia,7.790139674828475,7.837478944066934,534.1543341879465,0,0,
29,dbpedia,7.760306486055545,7.840213653633825,534.3407151630438,0,0,
30,amazon_review_polarity,2.479266427694007,20.129729638664212,18076.497215520463,0,0,
31,amazon_review_polarity,2.550449441481096,19.881832357964157,17853.88545745181,0,0,
32,yelp_review_polarity,2.5135647016436415,19.236626462971504,17274.49056374841,0,0,
33,yelp_review_polarity,2.6686618671161715,18.509440157348013,16621.477261298514,0,0,
34,yelp_review_polarity,2.604356120916547,18.73457239418844,16823.646009981218,0,0,
35,yelp_review_polarity,2.6254337336383378,19.01396521069587,17074.54075920489,3.269125175104863,2,
36,yelp_review_polarity,2.6073296099786125,18.887124787677728,16960.6380593346,0,0,
37,amazon_review_polarity,2.507960598711901,19.575702804450426,17578.98111839648,0,0,
38,yelp_review_polarity,2.6368397631594336,18.63473127918688,16733.98868870982,3.1394772009378427,2,
39,ag_news,3.85241365977071,14.657466008226757,4377.696514457058,0,0,
40,ag_news,3.7887415375032463,14.316317122632627,4275.806713959611,0,0,
41,dbpedia,7.821318287301962,7.7871246305717206,530.7224940528112,2.9033588756587227,2,
42,ag_news,3.955271591615974,14.031573160527417,4190.763183944188,0,0,
43,amazon_review_polarity,2.5456798976259276,19.955243207067053,17919.808399946214,0,0,
44,ag_news,3.909693923346527,14.336124135613929,4281.72240850336,0,0,
45,ag_news,3.7509095303452673,14.635500994048275,4371.136296889085,0,0,
46,amazon_review_full,4.355166985055016,12.914556688131828,2889.6320589694965,3.1527491926756275,2,
47,yelp_review_polarity,2.5448847197482944,19.410763216634354,17430.86536853765,0,0,
48,yahoo_answers,6.446682036730713,9.395583483353542,929.118811131628,0,0,
49,yelp_review_polarity,2.6446083299094405,18.49376122154127,16607.397576944062,3.1223596290814744,2,
50,dbpedia,7.854512898473554,7.803699264196503,531.8521190829308,0,0,
51,dbpedia,7.820256012591062,7.764968534574068,529.2124708948172,0,0,
