Index,Dataset,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster
0,ag_news,0.32878622189073214,5.946296691894531,5343.73876953125,2.452962636947632,6,
1,amazon_review_polarity,0.26053716490484174,6.278992652893066,16940.72265625,2.596865177154541,2,
2,yelp_review_polarity,0.3354238420706679,4.781796932220459,12901.2880859375,1.8379310369491577,2,
3,amazon_review_polarity,0.26476987451133027,6.149623870849609,16591.685546875,2.3548388481140137,4,
4,yahoo_answers,0.2799048456275076,7.059141159057617,2109.89892578125,2.625537395477295,2,
5,dbpedia,0.47791452315565647,4.3932719230651855,907.717529296875,1.7892600297927856,14,
6,amazon_review_polarity,0.2602246552687575,6.2077250480651855,16748.44140625,2.5170607566833496,2,
7,amazon_review_polarity,0.26580532143331465,6.152952671051025,16600.666015625,2.4378864765167236,4,
8,amazon_review_full,0.21602243731346485,6.051548004150391,4077.23046875,2.230769634246826,2,
9,ag_news,0.3150215126564945,6.04646635055542,5433.7578125,2.4214298725128174,5,
10,amazon_review_polarity,0.26520864416973683,6.167416572570801,16639.689453125,2.6331653594970703,3,
11,dbpedia,0.47945200467367527,4.351558685302734,899.0989990234375,1.6788201332092285,13,
12,dbpedia,0.47874018556988934,4.340634822845459,896.8419189453125,1.829650640487671,15,
13,yelp_review_polarity,0.33968812475419935,4.747721195220947,12809.3515625,1.869168758392334,2,
14,dbpedia,0.48348917953998827,4.341646194458008,897.0509033203125,1.653853178024292,16,
15,dbpedia,0.48500714592964433,4.310205936431885,890.5548095703125,1.9623101949691772,12,
16,dbpedia,0.4833477834148306,4.3272809982299805,894.0828857421875,1.848297357559204,13,
17,amazon_review_polarity,0.2675764361999124,6.207062721252441,16746.654296875,2.0998244285583496,4,
18,yelp_review_polarity,0.33063749472118314,4.8510823249816895,13088.2197265625,1.7778764963150024,2,
19,dbpedia,0.48376248301468705,4.322216033935547,893.036376953125,1.8498797416687012,12,
20,dbpedia,0.47928061662659316,4.354798793792725,899.7684326171875,1.9127757549285889,15,
21,dbpedia,0.4776726548867806,4.37392520904541,903.7202758789062,1.85031259059906,13,
22,yelp_review_polarity,0.33659212787764164,4.850159645080566,13085.73046875,2.233748197555542,2,
23,dbpedia,0.476601300991457,4.421331405639648,913.5150756835938,1.8784880638122559,12,
24,amazon_review_polarity,0.2649757340532233,6.224124908447266,16792.689453125,2.4176950454711914,3,
25,yelp_review_polarity,0.3299177934707889,4.898678779602051,13216.6357421875,1.8698327541351318,2,
26,ag_news,0.3131780557325328,6.019837379455566,5409.8271484375,2.8432857990264893,4,
27,yahoo_answers,0.2771305718201554,7.063481330871582,2111.1962890625,2.3855457305908203,5,
28,dbpedia,0.4782591878655651,4.397848129272461,908.6630859375,1.8437488079071045,13,
29,dbpedia,0.47859118559504815,4.365799427032471,902.0413208007812,1.809827208518982,16,
30,amazon_review_polarity,0.2624492074034303,6.233091831207275,16816.880859375,2.5619125366210938,3,
31,amazon_review_polarity,0.26499824474073347,6.115021705627441,16498.328125,2.2948684692382812,2,
32,yelp_review_polarity,0.3272864669543196,4.919719696044922,13273.4033203125,1.7343522310256958,2,
33,yelp_review_polarity,0.33777387191670033,4.75573205947876,12830.96484375,1.9441683292388916,2,
34,yelp_review_polarity,0.3310452923160483,4.861805438995361,13117.1513671875,1.986376166343689,3,
35,yelp_review_polarity,0.328574297326971,4.8779120445251465,13160.6064453125,1.8734104633331299,2,
36,yelp_review_polarity,0.3356285244208266,4.808477401733398,12973.2724609375,1.7795249223709106,2,
37,amazon_review_polarity,0.26172074923730787,6.199517726898193,16726.298828125,2.4088501930236816,4,
38,yelp_review_polarity,0.33015330135640397,4.827602386474609,13024.87109375,1.7325586080551147,2,
39,ag_news,0.3184104017904247,6.0485005378723145,5435.5859375,2.234405040740967,7,
40,ag_news,0.3186121255150283,5.9952263832092285,5387.7099609375,2.533733606338501,3,
41,dbpedia,0.48330508349880846,4.341976165771484,897.1190795898438,1.7997606992721558,13,
42,ag_news,0.32131009846834785,5.945764064788818,5343.26025390625,2.657613754272461,2,
43,amazon_review_polarity,0.2595071519396394,6.21353816986084,16764.126953125,2.1340646743774414,4,
44,ag_news,0.31189120635299333,6.060669422149658,5446.521484375,2.3082962036132812,7,
45,ag_news,0.31670145243315345,6.000615119934082,5392.552734375,2.18888521194458,7,
46,amazon_review_full,0.2175110861651774,6.093097686767578,4105.224609375,2.0292906761169434,5,
47,yelp_review_polarity,0.32965658356564137,4.830636501312256,13033.0576171875,1.8332977294921875,2,
48,yahoo_answers,0.28112514167987684,6.9849629402160645,2087.727783203125,2.3175880908966064,6,
49,yelp_review_polarity,0.33127621561106935,4.821037292480469,13007.158203125,1.6817591190338135,2,
50,dbpedia,0.4778332588925488,4.355238914489746,899.859375,1.9184150695800781,12,
51,dbpedia,0.47557264601874477,4.417903423309326,912.8067626953125,1.6836624145507812,17,
52,yelp_review_polarity,0.3302130401116301,4.898171424865723,13215.2666015625,1.9729007482528687,3,
53,amazon_review_full,0.21414967800107357,6.090529441833496,4103.494140625,2.240135908126831,4,
54,ag_news,0.31560508683232913,6.042701721191406,5430.37451171875,2.2488155364990234,2,
55,amazon_review_polarity,0.2626893719019184,6.190587520599365,16702.205078125,2.529191732406616,3,
56,dbpedia,0.48331237243728536,4.334197998046875,895.5120239257812,1.7794016599655151,16,
57,amazon_review_polarity,0.26294268170810636,6.226833820343018,16799.998046875,2.385715961456299,2,
58,dbpedia,0.482476459727141,4.330911159515381,894.8328857421875,1.8594286441802979,13,
59,amazon_review_full,0.21381508360233661,6.071930408477783,4090.963134765625,2.675374746322632,3,
60,amazon_review_polarity,0.2621465474348952,6.256638050079346,16880.41015625,2.2718591690063477,2,
61,yelp_review_polarity,0.33393897116002336,4.852396011352539,13091.7646484375,2.010040760040283,2,
62,dbpedia,0.4754208176615932,4.411088943481445,911.3988037109375,1.9149287939071655,11,
63,ag_news,0.3205252192905391,5.986617088317871,5379.97314453125,2.139065980911255,6,
64,amazon_review_full,0.21699400097058968,6.028132915496826,4061.45458984375,2.558163642883301,4,
65,yelp_review_polarity,0.3303770298740953,4.8636393547058105,13122.0986328125,1.7038147449493408,2,
66,dbpedia,0.4774718100823347,4.393564701080322,907.778076171875,1.8776319026947021,13,
67,dbpedia,0.4883965992499205,4.301905155181885,888.8397827148438,1.937314510345459,11,
68,ag_news,0.3274046599855865,5.962324619293213,5358.14208984375,2.42160964012146,4,
69,yelp_review_full,0.2643141046159144,4.642710208892822,3128.026123046875,0,0,
70,yelp_review_polarity,0.3297049254160811,4.8407368659973145,13060.3076171875,0,0,
71,ag_news,0.3100487902751411,6.12672233581543,5505.880859375,2.423476457595825,2,
72,yelp_review_polarity,0.3296303575219402,4.882536888122559,13173.0849609375,2.153872013092041,2,
73,yelp_review_polarity,0.33026917278584733,4.816201686859131,12994.1123046875,1.9542100429534912,2,
74,yelp_review_polarity,0.3355854650320301,4.796705722808838,12941.51171875,2.1687653064727783,2,
