Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
317,banking77__4,16.68333333,1138,6,69,3.838440678,14.06595567,4201.032093,2.942063718,2,1.315937338,4,2.247148498,0.73,4,0.9,0.95,Nan,0.67
318,banking77__4,16.29888889,1129,5,72,4.030960445,13.6389955,4073.513324,0,0,-1.553675412,4,2.315775624,1,4,0.87,0.94,0.9,0.74
319,banking77__4,16.62444444,1118,6,63,3.782379813,14.33349849,4280.938215,0,0,0.768921892,4,2.118439981,0.79,4,0.86,0.92,0.92,0.67
320,banking77__4,15.72,1081,5,66,3.710782533,14.65321248,4376.426128,0,0,1.477097892,4,2.308539945,0.95,4,0.9,0.94,Nan,0.63
321,banking77__4,15.99666667,1086,6,80,3.890308886,13.79378811,4119.744715,3.761375716,2,1.622214211,4,2.328306145,0.96,4,0.85,0.96,Nan,0.67
322,banking77__4,16.18222222,1106,5,76,4.018866082,13.67670776,4084.776716,0,0,-0.513264903,4,2.054812588,0.82,4,0.92,0.94,Nan,0.71
323,banking77__4,16.94555556,1174,6,89,3.923187955,13.86299991,4140.415972,0,0,0.108394406,4,1.184124236,0.82,4,0.91,0.97,0.88,0.7
324,banking77__4,16.12666667,1073,4,75,3.724903334,14.31512489,4275.450633,0,0,-0.286038777,4,1.333553719,0.96,4,0.82,0.87,0.92,0.79
325,banking77__4,16.28888889,1142,5,98,3.883592394,14.17641458,4234.022488,0,0,0.492365964,4,1.398700813,0.79,4,0.86,0.93,0,0
326,banking77__4,16.57333333,1123,5,89,3.82307965,14.13067466,4220.361499,0,0,-0.640792108,4,1.387451494,0.79,4,0.88,0.93,Nan,0.71
327,banking77__4,16.68444444,1122,5,70,3.777766342,14.42652813,4308.723067,0,0,0,4,1.778546713,0.76,4,0.89,0.96,Nan,0.72
